=== Episode: 10x10_karmasik_ep0 (D3QN) ===
Start: (5, 3) | Goal: (1, 3)
Step  | Robot      | Action     | Mode    | Reward  | Total   | Dyn Obs Positions
228   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -150.50 | (2, 4), (5, 5)
229   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -128.25 | (1, 4), (5, 6)
230   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -152.50 | (1, 4), (5, 6)
231   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -130.25 | (2, 4), (5, 5)
232   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -154.50 | (3, 4), (5, 5)
233   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -132.25 | (4, 4), (5, 6)
234   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -156.50 | (4, 4), (5, 6)
235   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -134.25 | (3, 4), (5, 5)
236   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -158.50 | (2, 4), (5, 5)
237   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -136.25 | (1, 4), (5, 6)
238   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -160.50 | (1, 4), (5, 6)
239   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -138.25 | (2, 4), (5, 5)
240   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -162.50 | (3, 4), (5, 5)
241   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -140.25 | (4, 4), (5, 6)
242   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -164.50 | (4, 4), (5, 6)
243   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -142.25 | (3, 4), (5, 5)
244   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -166.50 | (2, 4), (5, 5)
245   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -144.25 | (1, 4), (5, 6)
246   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -168.50 | (1, 4), (5, 6)
247   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -146.25 | (2, 4), (5, 5)
248   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -170.50 | (3, 4), (5, 5)
249   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -148.25 | (4, 4), (5, 6)
250   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -172.50 | (4, 4), (5, 6)
251   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -150.25 | (3, 4), (5, 5)
252   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -174.50 | (2, 4), (5, 5)
253   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -152.25 | (1, 4), (5, 6)
254   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -176.50 | (1, 4), (5, 6)
255   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -154.25 | (2, 4), (5, 5)
256   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -178.50 | (3, 4), (5, 5)
257   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -156.25 | (4, 4), (5, 6)
258   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -180.50 | (4, 4), (5, 6)
259   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -158.25 | (3, 4), (5, 5)
260   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -182.50 | (2, 4), (5, 5)
261   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -160.25 | (1, 4), (5, 6)
262   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -184.50 | (1, 4), (5, 6)
263   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -162.25 | (2, 4), (5, 5)
264   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -186.50 | (3, 4), (5, 5)
265   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -164.25 | (4, 4), (5, 6)
266   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -188.50 | (4, 4), (5, 6)
267   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -166.25 | (3, 4), (5, 5)
268   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -190.50 | (2, 4), (5, 5)
269   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -168.25 | (1, 4), (5, 6)
270   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -192.50 | (1, 4), (5, 6)
271   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -170.25 | (2, 4), (5, 5)
